Solver	Executable.team	Problem	Instance	Exit-code	Exec-Status	Checker-out	Time(user+sys)	Memory-Usage	Time-Limit	Memory-Limit	Real	TrackFormula	Track	RESULT	SCORE	RESULT_IN_MARATHON	SCORE-MARATHON
idlv+-s	idlv+-s.competition.0.aspcomp	AbstractDialecticalFrameworksWell-foundedModel	0012-adf_wf-10-8.asp	30	complete	OK 10@2 10@1	1.19	69.7	1200	12288	1.384	T4	T4	solved	5	solved	5
idlv+-s	idlv+-s.competition.0.aspcomp	AbstractDialecticalFrameworksWell-foundedModel	0099-adf_wf-20-8.asp	30	complete	OK 12@2 13@1	3.18	66.6	1200	12288	3.706	T4	T4	solved	5	solved	5
idlv+-s	idlv+-s.competition.0.aspcomp	AbstractDialecticalFrameworksWell-foundedModel	0146-adf_wf-25-8.asp	30	complete	OK 15@2 10@1	25.88	69.8	1200	12288	27.032	T4	T4	solved	5	solved	5
idlv+-s	idlv+-s.competition.1.aspcomp	AbstractDialecticalFrameworksWell-foundedModel	0037-adf_wf-10-8.asp	30	complete	OK 10@2 10@1	1.18	69.5	1200	12288	1.449	T4	T4	solved	5	solved	5
idlv+-s	idlv+-s.competition.1.aspcomp	AbstractDialecticalFrameworksWell-foundedModel	0103-adf_wf-20-8.asp	30	complete	OK 14@2 15@1	6.74	63.5	1200	12288	7.361	T4	T4	solved	5	solved	5
idlv+-s	idlv+-s.competition.1.aspcomp	AbstractDialecticalFrameworksWell-foundedModel	0163-adf_wf-30-8.asp	30	complete	OK 25@2 19@1	14.65	69.3	1200	12288	15.325	T4	T4	solved	5	solved	5
idlv+-s	idlv+-s.competition.2.aspcomp	AbstractDialecticalFrameworksWell-foundedModel	0041-adf_wf-15-8.asp	30	complete	OK 10@2 12@1	2.74	66.6	1200	12288	3.177	T4	T4	solved	5	solved	5
idlv+-s	idlv+-s.competition.2.aspcomp	AbstractDialecticalFrameworksWell-foundedModel	0105-adf_wf-20-8.asp	30	complete	OK 12@2 17@1	4	67.4	1200	12288	4.44	T4	T4	solved	5	solved	5
idlv+-s	idlv+-s.competition.2.aspcomp	AbstractDialecticalFrameworksWell-foundedModel	0164-adf_wf-30-8.asp	30	complete	OK 12@2 18@1	15.75	69.1	1200	12288	16.475	T4	T4	solved	5	solved	5
idlv+-s	idlv+-s.competition.3.aspcomp	AbstractDialecticalFrameworksWell-foundedModel	0042-adf_wf-15-8.asp	30	complete	OK 10@2 9@1	2.15	68.3	1200	12288	2.615	T4	T4	solved	5	solved	5
